Name,MIME Type,File Extension,Details,FileType
Mobius Management Systems - Policy Definition Language File,application/vnd.mobius.plc,.plc,IANA: Mobius Management Systems,unknown
Mobius Management Systems - Topic Index File,application/vnd.mobius.txf,.txf,IANA: Mobius Management Systems,unknown
Mophun VM,application/vnd.mophun.application,.mpn,IANA: Mophun VM,unknown
Mophun Certificate,application/vnd.mophun.certificate,.mpc,IANA: Mophun Certificate,unknown
XUL - XML User Interface Language,application/vnd.mozilla.xul+xml,.xul,IANA: XUL,unknown
Microsoft Artgalry,application/vnd.ms-artgalry,.cil,IANA: MS Artgalry,unknown
Microsoft Cabinet File,application/vnd.ms-cab-compressed,.cab,IANA: MS Cabinet File,unknown
Microsoft Excel,application/vnd.ms-excel,.xls,IANA: MS Excel,unknown
Microsoft Excel - Add-In File,application/vnd.ms-excel.addin.macroenabled.12,.xlam,IANA: MS Excel,unknown
Microsoft Excel - Binary Workbook,application/vnd.ms-excel.sheet.binary.macroenabled.12,.xlsb,IANA: MS Excel,unknown
Microsoft Excel - Macro-Enabled Workbook,application/vnd.ms-excel.sheet.macroenabled.12,.xlsm,IANA: MS Excel,unknown
Microsoft Excel - Macro-Enabled Template File,application/vnd.ms-excel.template.macroenabled.12,.xltm,IANA: MS Excel,unknown
Microsoft Embedded OpenType,application/vnd.ms-fontobject,.eot,IANA: MS Embedded OpenType,unknown
Microsoft Html Help File,application/vnd.ms-htmlhelp,.chm,IANA:MS Html Help File,unknown
Microsoft Class Server,application/vnd.ms-ims,.ims,IANA: MS Class Server,unknown
Microsoft Learning Resource Module,application/vnd.ms-lrm,.lrm,IANA: MS Learning Resource Module,unknown
Microsoft Office System Release Theme,application/vnd.ms-officetheme,.thmx,IANA: MS Office System Release Theme,unknown
Microsoft Trust UI Provider - Security Catalog,application/vnd.ms-pki.seccat,.cat,IANA: MS Trust UI Provider,unknown
Microsoft Trust UI Provider - Certificate Trust Link,application/vnd.ms-pki.stl,.stl,IANA: MS Trust UI Provider,unknown
Microsoft PowerPoint,application/vnd.ms-powerpoint,.ppt,IANA: MS PowerPoint,unknown
Microsoft PowerPoint - Add-in file,application/vnd.ms-powerpoint.addin.macroenabled.12,.ppam,IANA: MS PowerPoint,unknown
Microsoft PowerPoint - Macro-Enabled Presentation File,application/vnd.ms-powerpoint.presentation.macroenabled.12,.pptm,IANA: MS PowerPoint,unknown
Microsoft PowerPoint - Macro-Enabled Open XML Slide,application/vnd.ms-powerpoint.slide.macroenabled.12,.sldm,IANA: MS PowerPoint,unknown
Microsoft PowerPoint - Macro-Enabled Slide Show File,application/vnd.ms-powerpoint.slideshow.macroenabled.12,.ppsm,IANA: MS PowerPoint,unknown
Microsoft PowerPoint - Macro-Enabled Template File,application/vnd.ms-powerpoint.template.macroenabled.12,.potm,IANA: MS PowerPoint,unknown
Microsoft Project,application/vnd.ms-project,.mpp,IANA: MS PowerPoint,unknown
Microsoft Word - Macro-Enabled Document,application/vnd.ms-word.document.macroenabled.12,.docm,IANA: MS Word,unknown
Microsoft Word - Macro-Enabled Template,application/vnd.ms-word.template.macroenabled.12,.dotm,IANA: MS Word,unknown
Microsoft Works,application/vnd.ms-works,.wps,IANA: MS Works,unknown
Microsoft Windows Media Player Playlist,application/vnd.ms-wpl,.wpl,IANA: MS Windows Media Player Playlist,unknown
Microsoft XML Paper Specification,application/vnd.ms-xpsdocument,.xps,IANA: MS XML Paper Specification,unknown
3GPP MSEQ File,application/vnd.mseq,.mseq,IANA: 3GPP MSEQ File,unknown
MUsical Score Interpreted Code Invented for the ASCII designation of Notation,application/vnd.musician,.mus,IANA: MUSICIAN,unknown
Muvee Automatic Video Editing,application/vnd.muvee.style,.msty,IANA: Muvee,unknown
neuroLanguage,application/vnd.neurolanguage.nlu,.nlu,IANA: neuroLanguage,unknown
NobleNet Directory,application/vnd.noblenet-directory,.nnd,IANA: NobleNet Directory,unknown
NobleNet Sealer,application/vnd.noblenet-sealer,.nns,IANA: NobleNet Sealer,unknown
NobleNet Web,application/vnd.noblenet-web,.nnw,IANA: NobleNet Web,unknown
N-Gage Game Data,application/vnd.nokia.n-gage.data,.ngdat,IANA: N-Gage Game Data,unknown
N-Gage Game Installer,application/vnd.nokia.n-gage.symbian.install,.n-gage,IANA: N-Gage Game Installer,unknown
Nokia Radio Application - Preset,application/vnd.nokia.radio-preset,.rpst,IANA: Nokia Radio Application,unknown
Nokia Radio Application - Preset,application/vnd.nokia.radio-presets,.rpss,IANA: Nokia Radio Application,unknown
Novadigm's RADIA and EDM products,application/vnd.novadigm.edm,.edm,IANA: Novadigm's RADIA and EDM products,unknown
Novadigm's RADIA and EDM products,application/vnd.novadigm.edx,.edx,IANA: Novadigm's RADIA and EDM products,unknown
Novadigm's RADIA and EDM products,application/vnd.novadigm.ext,.ext,IANA: Novadigm's RADIA and EDM products,unknown
OpenDocument Chart,application/vnd.oasis.opendocument.chart,.odc,IANA: OpenDocument Chart,unknown
OpenDocument Chart Template,application/vnd.oasis.opendocument.chart-template,.otc,IANA: OpenDocument Chart Template,unknown
OpenDocument Database,application/vnd.oasis.opendocument.database,.odb,IANA: OpenDocument Database,unknown
OpenDocument Formula,application/vnd.oasis.opendocument.formula,.odf,IANA: OpenDocument Formula,unknown
OpenDocument Formula Template,application/vnd.oasis.opendocument.formula-template,.odft,IANA: OpenDocument Formula Template,unknown
OpenDocument Graphics,application/vnd.oasis.opendocument.graphics,.odg,IANA: OpenDocument Graphics,unknown
OpenDocument Graphics Template,application/vnd.oasis.opendocument.graphics-template,.otg,IANA: OpenDocument Graphics Template,unknown
OpenDocument Image,application/vnd.oasis.opendocument.image,.odi,IANA: OpenDocument Image,unknown
OpenDocument Image Template,application/vnd.oasis.opendocument.image-template,.oti,IANA: OpenDocument Image Template,unknown
OpenDocument Presentation,application/vnd.oasis.opendocument.presentation,.odp,IANA: OpenDocument Presentation,unknown
OpenDocument Presentation Template,application/vnd.oasis.opendocument.presentation-template,.otp,IANA: OpenDocument Presentation Template,unknown
OpenDocument Spreadsheet,application/vnd.oasis.opendocument.spreadsheet,.ods,IANA: OpenDocument Spreadsheet,unknown
OpenDocument Spreadsheet Template,application/vnd.oasis.opendocument.spreadsheet-template,.ots,IANA: OpenDocument Spreadsheet Template,unknown
OpenDocument Text,application/vnd.oasis.opendocument.text,.odt,IANA: OpenDocument Text,unknown
OpenDocument Text Master,application/vnd.oasis.opendocument.text-master,.odm,IANA: OpenDocument Text Master,unknown
OpenDocument Text Template,application/vnd.oasis.opendocument.text-template,.ott,IANA: OpenDocument Text Template,unknown
Open Document Text Web,application/vnd.oasis.opendocument.text-web,.oth,IANA: OpenDocument Text Web,unknown
Sugar Linux Application Bundle,application/vnd.olpc-sugar,.xo,IANA: Sugar Linux App Bundle,unknown
OMA Download Agents,application/vnd.oma.dd2+xml,.dd2,IANA: OMA Download Agents,unknown
Open Office Extension,application/vnd.openofficeorg.extension,.oxt,IANA: Open Office Extension,unknown
Microsoft Office - OOXML - Presentation,application/vnd.openxmlformats-officedocument.presentationml.presentation,.pptx,IANA: OOXML - Presentation,unknown
Microsoft Office - OOXML - Presentation (Slide),application/vnd.openxmlformats-officedocument.presentationml.slide,.sldx,IANA: OOXML - Presentation,unknown
Microsoft Office - OOXML - Presentation (Slideshow),application/vnd.openxmlformats-officedocument.presentationml.slideshow,.ppsx,IANA: OOXML - Presentation,unknown
Microsoft Office - OOXML - Presentation Template,application/vnd.openxmlformats-officedocument.presentationml.template,.potx,IANA: OOXML - Presentation Template,unknown
Microsoft Office - OOXML - Spreadsheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,.xlsx,IANA: OOXML - Spreadsheet,unknown
Microsoft Office - OOXML - Spreadsheet Template,application/vnd.openxmlformats-officedocument.spreadsheetml.template,.xltx,IANA: OOXML - Spreadsheet Template,unknown
Microsoft Office - OOXML - Word Document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,.docx,IANA: OOXML - Word Document,msword
Microsoft Office - OOXML - Word Document Template,application/vnd.openxmlformats-officedocument.wordprocessingml.template,.dotx,IANA: OOXML - Word Document Template,unknown
MapGuide DBXML,application/vnd.osgeo.mapguide.package,.mgp,IANA: MapGuide DBXML,unknown
OSGi Deployment Package,application/vnd.osgi.dp,.dp,IANA: OSGi Deployment Package,unknown
PalmOS Data,application/vnd.palm,.pdb,IANA: PalmOS Data,unknown
PawaaFILE,application/vnd.pawaafile,.paw,IANA: PawaaFILE,unknown
Proprietary P&G Standard Reporting System,application/vnd.pg.format,.str,IANA: Proprietary P&G Standard Reporting System,unknown
Proprietary P&G Standard Reporting System,application/vnd.pg.osasli,.ei6,IANA: Proprietary P&G Standard Reporting System,unknown
Pcsel eFIF File,application/vnd.picsel,.efif,IANA: Picsel eFIF File,unknown
Qualcomm's Plaza Mobile Internet,application/vnd.pmi.widget,.wg,IANA: Qualcomm's Plaza Mobile Internet,unknown
PocketLearn Viewers,application/vnd.pocketlearn,.plf,IANA: PocketLearn Viewers,unknown
PowerBuilder,application/vnd.powerbuilder6,.pbd,IANA: PowerBuilder,unknown
Preview Systems ZipLock/VBox,application/vnd.previewsystems.box,.box,IANA: Preview Systems ZipLock/Vbox,unknown
EFI Proteus,application/vnd.proteus.magazine,.mgz,IANA: EFI Proteus,unknown
PubliShare Objects,application/vnd.publishare-delta-tree,.qps,IANA: PubliShare Objects,unknown
Princeton Video Image,application/vnd.pvi.ptid1,.ptid,IANA: Princeton Video Image,unknown
QuarkXpress,application/vnd.quark.quarkxpress,.qxd,IANA: QuarkXPress,unknown
RealVNC,application/vnd.realvnc.bed,.bed,IANA: RealVNC,unknown
Recordare Applications,application/vnd.recordare.musicxml,.mxl,IANA: Recordare Apps,unknown
Recordare Applications,application/vnd.recordare.musicxml+xml,.musicxml,IANA: Recordare Apps,unknown
CryptoNote,application/vnd.rig.cryptonote,.cryptonote,IANA: CryptoNote,unknown
Blackberry COD File,application/vnd.rim.cod,.cod,,unknown
RealMedia,application/vnd.rn-realmedia,.rm,,unknown
ROUTE 66 Location Based Services,application/vnd.route66.link66+xml,.link66,IANA: ROUTE 66,unknown
SailingTracker,application/vnd.sailingtracker.track,.st,IANA: SailingTracker,unknown
SeeMail,application/vnd.seemail,.see,IANA: SeeMail,unknown
Secured eMail,application/vnd.sema,.sema,IANA: Secured eMail,unknown
Secured eMail,application/vnd.semd,.semd,IANA: Secured eMail,unknown
Secured eMail,application/vnd.semf,.semf,IANA: Secured eMail,unknown
Shana Informed Filler,application/vnd.shana.informed.formdata,.ifm,IANA: Shana Informed Filler,unknown
Shana Informed Filler,application/vnd.shana.informed.formtemplate,.itp,IANA: Shana Informed Filler,unknown
Shana Informed Filler,application/vnd.shana.informed.interchange,.iif,IANA: Shana Informed Filler,unknown
Shana Informed Filler,application/vnd.shana.informed.package,.ipk,IANA: Shana Informed Filler,unknown
SimTech MindMapper,application/vnd.simtech-mindmapper,.twd,IANA: SimTech MindMapper,unknown
SMAF File,application/vnd.smaf,.mmf,IANA: SMAF File,unknown
SMART Technologies Apps,application/vnd.smart.teacher,.teacher,IANA: SMART Technologies Apps,unknown
SudokuMagic,application/vnd.solent.sdkm+xml,.sdkm,IANA: SudokuMagic,unknown
TIBCO Spotfire,application/vnd.spotfire.dxp,.dxp,IANA: TIBCO Spotfire,unknown
TIBCO Spotfire,application/vnd.spotfire.sfs,.sfs,IANA: TIBCO Spotfire,unknown
StarOffice - Calc,application/vnd.stardivision.calc,.sdc,,unknown
StarOffice - Draw,application/vnd.stardivision.draw,.sda,,unknown
StarOffice - Impress,application/vnd.stardivision.impress,.sdd,,unknown
StarOffice - Math,application/vnd.stardivision.math,.smf,,unknown
StarOffice - Writer,application/vnd.stardivision.writer,.sdw,,unknown
StarOffice - Writer (Global),application/vnd.stardivision.writer-global,.sgl,,unknown
StepMania,application/vnd.stepmania.stepchart,.sm,IANA: StepMania,unknown
OpenOffice - Calc (Spreadsheet),application/vnd.sun.xml.calc,.sxc,Wikipedia: OpenOffice,unknown
OpenOffice - Calc Template (Spreadsheet),application/vnd.sun.xml.calc.template,.stc,Wikipedia: OpenOffice,unknown
OpenOffice - Draw (Graphics),application/vnd.sun.xml.draw,.sxd,Wikipedia: OpenOffice,unknown
OpenOffice - Draw Template (Graphics),application/vnd.sun.xml.draw.template,.std,Wikipedia: OpenOffice,unknown
OpenOffice - Impress (Presentation),application/vnd.sun.xml.impress,.sxi,Wikipedia: OpenOffice,unknown
OpenOffice - Impress Template (Presentation),application/vnd.sun.xml.impress.template,.sti,Wikipedia: OpenOffice,unknown
OpenOffice - Math (Formula),application/vnd.sun.xml.math,.sxm,Wikipedia: OpenOffice,unknown
OpenOffice - Writer (Text - HTML),application/vnd.sun.xml.writer,.sxw,Wikipedia: OpenOffice,unknown
OpenOffice - Writer (Text - HTML),application/vnd.sun.xml.writer.global,.sxg,Wikipedia: OpenOffice,unknown
OpenOffice - Writer Template (Text - HTML),application/vnd.sun.xml.writer.template,.stw,Wikipedia: OpenOffice,unknown
ScheduleUs,application/vnd.sus-calendar,.sus,IANA: ScheduleUs,unknown
SourceView Document,application/vnd.svd,.svd,IANA: SourceView Document,unknown
Symbian Install Package,application/vnd.symbian.install,.sis,IANA: Symbian Install,unknown
SyncML,application/vnd.syncml+xml,.xsm,IANA: SyncML,unknown
SyncML - Device Management,application/vnd.syncml.dm+wbxml,.bdm,IANA: SyncML,unknown
SyncML - Device Management,application/vnd.syncml.dm+xml,.xdm,IANA: SyncML,unknown
Tao Intent,application/vnd.tao.intent-module-archive,.tao,IANA: Tao Intent,unknown
MobileTV,application/vnd.tmobile-livetv,.tmo,IANA: MobileTV,unknown
TRI Systems Config,application/vnd.trid.tpt,.tpt,IANA: TRI Systems,unknown
Triscape Map Explorer,application/vnd.triscape.mxs,.mxs,IANA: Triscape Map Explorer,unknown
True BASIC,application/vnd.trueapp,.tra,IANA: True BASIC,unknown
Universal Forms Description Language,application/vnd.ufdl,.ufd,IANA: Universal Forms Description Language,unknown
User Interface Quartz - Theme (Symbian),application/vnd.uiq.theme,.utz,IANA: User Interface Quartz,unknown
UMAJIN,application/vnd.umajin,.umj,IANA: UMAJIN,unknown
Unity 3d,application/vnd.unity,.unityweb,IANA: Unity 3d,unknown
Unique Object Markup Language,application/vnd.uoml+xml,.uoml,IANA: UOML,unknown
VirtualCatalog,application/vnd.vcx,.vcx,IANA: VirtualCatalog,unknown
Microsoft Visio,application/vnd.visio,.vsd,IANA: Visio,unknown
Microsoft Visio 2013,application/vnd.visio2013,.vsdx,IANA: Visio,unknown
Visionary,application/vnd.visionary,.vis,IANA: Visionary,unknown
Viewport+,application/vnd.vsf,.vsf,IANA: Viewport+,unknown
WAP Binary XML (WBXML),application/vnd.wap.wbxml,.wbxml,IANA: WBXML,unknown
Compiled Wireless Markup Language (WMLC),application/vnd.wap.wmlc,.wmlc,IANA: WMLC,unknown
WMLScript,application/vnd.wap.wmlscriptc,.wmlsc,IANA: WMLScript,unknown
WebTurbo,application/vnd.webturbo,.wtb,IANA: WebTurbo,unknown
Mathematica Notebook Player,application/vnd.wolfram.player,.nbp,IANA: Mathematica Notebook Player,unknown
Wordperfect,application/vnd.wordperfect,.wpd,IANA: Wordperfect,unknown
SundaHus WQ,application/vnd.wqd,.wqd,IANA: SundaHus WQ,unknown
Worldtalk,application/vnd.wt.stf,.stf,IANA: Worldtalk,unknown
CorelXARA,application/vnd.xara,.xar,IANA: CorelXARA,unknown
Extensible Forms Description Language,application/vnd.xfdl,.xfdl,IANA: Extensible Forms Description Language,unknown
HV Voice Dictionary,application/vnd.yamaha.hv-dic,.hvd,IANA: HV Voice Dictionary,unknown
HV Script,application/vnd.yamaha.hv-script,.hvs,IANA: HV Script,unknown
HV Voice Parameter,application/vnd.yamaha.hv-voice,.hvp,IANA: HV Voice Parameter,unknown
Open Score Format,application/vnd.yamaha.openscoreformat,.osf,IANA: Open Score Format,unknown
OSFPVG,application/vnd.yamaha.openscoreformat.osfpvg+xml,.osfpvg,IANA: OSFPVG,unknown
SMAF Audio,application/vnd.yamaha.smaf-audio,.saf,IANA: SMAF Audio,unknown
SMAF Phrase,application/vnd.yamaha.smaf-phrase,.spf,IANA: SMAF Phrase,unknown
CustomMenu,application/vnd.yellowriver-custom-menu,.cmp,IANA: CustomMenu,unknown
Z.U.L. Geometry,application/vnd.zul,.zir,IANA: Z.U.L.,unknown
Zzazz Deck,application/vnd.zzazz.deck+xml,.zaz,IANA: Zzazz,unknown
VoiceXML,application/voicexml+xml,.vxml,RFC 4267,unknown
Widget Packaging and XML Configuration,application/widget,.wgt,W3C Widget Packaging and XML Configuration,unknown
WinHelp,application/winhlp,.hlp,Wikipedia: WinHelp,unknown
WSDL - Web Services Description Language,application/wsdl+xml,.wsdl,W3C Web Service Description Language,unknown
Web Services Policy,application/wspolicy+xml,.wspolicy,W3C Web Services Policy,unknown
7-Zip,application/x-7z-compressed,.7z,Wikipedia: 7-Zip,unknown
AbiWord,application/x-abiword,.abw,Wikipedia: AbiWord,unknown
Ace Archive,application/x-ace-compressed,.ace,Wikipedia: ACE,unknown
Apple Disk Image,application/x-apple-diskimage,.dmg,Apple Disk Image,unknown
Adobe (Macropedia) Authorware - Binary File,application/x-authorware-bin,.aab,Wikipedia: Authorware,unknown
Adobe (Macropedia) Authorware - Map,application/x-authorware-map,.aam,Wikipedia: Authorware,unknown
Adobe (Macropedia) Authorware - Segment File,application/x-authorware-seg,.aas,Wikipedia: Authorware,unknown
Binary CPIO Archive,application/x-bcpio,.bcpio,Wikipedia: cpio,unknown
BitTorrent,application/x-bittorrent,.torrent,Wikipedia: BitTorrent,unknown
Bzip Archive,application/x-bzip,.bz,Wikipedia: Bzip,unknown
Bzip2 Archive,application/x-bzip2,.bz2,Wikipedia: Bzip,unknown
Video CD,application/x-cdlink,.vcd,Wikipedia: Video CD,unknown
pIRCh,application/x-chat,.chat,Wikipedia: pIRCh,unknown
Portable Game Notation (Chess Games),application/x-chess-pgn,.pgn,Wikipedia: Portable Game Notationb,unknown
CPIO Archive,application/x-cpio,.cpio,Wikipedia: cpio,unknown
C Shell Script,application/x-csh,.csh,Wikipedia: C Shell,unknown
Debian Package,application/x-debian-package,.deb,Wikipedia: Debian Package,unknown
Adobe Shockwave Player,application/x-director,.dir,Wikipedia: Adobe Shockwave Player,unknown
Doom Video Game,application/x-doom,.wad,Wikipedia: Doom WAD,unknown
Navigation Control file for XML (for ePub),application/x-dtbncx+xml,.ncx,Wikipedia: EPUB,unknown
Digital Talking Book,application/x-dtbook+xml,.dtb,Wikipedia: EPUB,unknown
Digital Talking Book - Resource File,application/x-dtbresource+xml,.res,Digital Talking Book,unknown
Device Independent File Format (DVI),application/x-dvi,.dvi,Wikipedia: DVI,unknown
Glyph Bitmap Distribution Format,application/x-font-bdf,.bdf,Wikipedia: Glyph Bitmap Distribution Format,unknown
Ghostscript Font,application/x-font-ghostscript,.gsf,Wikipedia: Ghostscript,unknown
PSF Fonts,application/x-font-linux-psf,.psf,PSF Fonts,unknown
OpenType Font File,application/x-font-otf,.otf,OpenType Font File,unknown
Portable Compiled Format,application/x-font-pcf,.pcf,Wikipedia: Portable Compiled Format,unknown
Server Normal Format,application/x-font-snf,.snf,Wikipedia: Server Normal Format,unknown
TrueType Font,application/x-font-ttf,.ttf,Wikipedia: TrueType,unknown
PostScript Fonts,application/x-font-type1,.pfa,Wikipedia: PostScript Fonts,unknown
Web Open Font Format,application/x-font-woff,.woff,Wikipedia: Web Open Font Format,unknown
